1, 9, 'adbs'
2, 7, 'anlp'
4, 2, 'ids'
5, 0, 'sdp'
8, 1, 'mlpr'
8, 9, 'rl'
8, 9, 'ppls'
1, 9, 'adbs'
4, 2, 'ids'
8, 1, 'mlpr'
8, 9, 'ppls'
1, 9, 'adbs'
2, 7, 'anlp'
4, 2, 'ids'
5, 0, 'sdp'
8, 1, 'mlpr'
8, 9, 'rl'
8, 9, 'ppls'
1, 9, 'adbs'
2, 7, 'anlp'
4, 2, 'ids'
5, 0, 'sdp'
8, 1, 'mlpr'
8, 9, 'rl'
8, 9, 'ppls'
1, 9, 'adbs'
2, 7, 'anlp'
4, 2, 'ids'
5, 0, 'sdp'
8, 1, 'mlpr'
8, 9, 'rl'
8, 9, 'ppls'
1, 9, 'adbs'
2, 7, 'anlp'
4, 2, 'ids'
5, 0, 'sdp'
8, 1, 'mlpr'
8, 9, 'rl'
8, 9, 'ppls'
1, 9, 'adbs'
2, 7, 'anlp'
4, 2, 'ids'
5, 0, 'sdp'
8, 1, 'mlpr'
8, 9, 'rl'
8, 9, 'ppls'
1, 9, 'adbs'
2, 7, 'anlp'
4, 2, 'ids'
5, 0, 'sdp'
8, 1, 'mlpr'
8, 9, 'rl'
8, 9, 'ppls'
2, 7, 'anlp'
2, 7, 'anlp'
2, 7, 'anlp'
